instrumentid,fromdate,open,high,low,close,ema_10,ema_20,trend,dl_trend,angle,opt_dl_trend,|,ent_sig,ext_sig,set_tp,set_sl,upd_tp,upd_sl
18 - gold,2023-10-20 00:00:00,1977.02,1981.78,1971.82,1977.54,1977.54,1977.54,-1,0,,0,|,,,,,,
18 - gold,2023-10-20 04:00:00,1977.57,1981.96,1973.89,1979.98,1978.882,1978.821,1,0,,0,|,0.0,,0.0,0.0,0.0,0.0
18 - gold,2023-10-20 08:00:00,1979.99,1985.7,1976.24,1977.12,1978.173687707641,1978.196402997502,-1,0,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-20 12:00:00,1977.1,1997.02,1973.08,1991.41,1982.534462871287,1982.0109641521194,1,0,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-20 16:00:00,1991.4,1992.26,1974.18,1979.52,1981.6690925668122,1981.4084211213667,1,0,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-20 20:00:00,1979.5,1980.25,1978.75,1978.82,1980.9290848143726,1980.8623824971128,1,-1,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-22 20:00:00,1971.54,1978.45,1968.86,1971.4,1978.632958166652,1979.0732801780052,-1,-1,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 00:00:00,1971.39,1974.6,1964.16,1973.51,1977.4674604948068,1978.1116392449223,-1,-1,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 04:00:00,1973.53,1979.55,1972.54,1979.27,1977.859630012588,1978.2974459741447,-1,0,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 08:00:00,1979.26,1982.61,1975.11,1979.17,1978.1348813068628,1978.4288450499027,-1,0,,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 12:00:00,1979.16,1981.74,1969.91,1975.15,1977.525107372683,1977.9609773870332,-1,0,-18.51257275659778,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 16:00:00,1975.16,1979.17,1970.97,1973.06,1976.6329870916743,1977.293326281265,-1,0,-26.691961073865965,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-23 20:00:00,1973.03,1973.64,1971.27,1973.4,1975.9984511366247,1976.7838299126936,-1,-1,-19.6986394018821,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 00:00:00,1973.37,1980.67,1972.21,1976.7,1976.1341821483518,1976.7732369757405,-1,0,9.721659116138818,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 04:00:00,1976.66,1978.99,1974.3,1975.16,1975.94787529896,1976.5755379278735,-1,0,-13.111785779426787,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 08:00:00,1975.14,1975.77,1953.28,1963.51,1973.5914141386033,1975.0169467702012,-1,0,-67.40833872548417,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 12:00:00,1963.52,1969.9,1958.86,1969.59,1972.8390604492542,1974.3847701892296,-1,-1,-42.7220982500015,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 16:00:00,1969.6,1977.42,1968.7,1972.52,1972.779439953138,1974.17206604982,-1,0,-4.255586211869486,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-24 20:00:00,1972.49,1973.21,1969.8,1972.66,1972.757233104133,1974.0027799963236,-1,0,-1.6704102573718613,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-25 00:00:00,1972.64,1976.82,1970.68,1973.05,1972.8114431101103,1973.8978638713509,-1,0,4.19529196667218,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-25 04:00:00,1973.04,1975.79,1968.12,1970.98,1972.473456027258,1973.5812711478102,-1,0,-24.522827917106635,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-25 08:00:00,1971.0,1976.27,1969.26,1974.51,1972.8482710799303,1973.6807206159842,-1,0,25.813257066749934,0,|,0.0,0.0,0.0,0.0,0.0,0.0
18 - gold,2023-10-25 12:00:00,1974.52,1987.09,1962.88,1981.04,1974.3525657961077,1974.459537951542,-1,0,57.25056208050147,0,|,0.0,0.0,0.0,0.0,0.0,0.0
